#	Tactex Controls Inc.			
#	Copyright 1998			
#	www.tactex.com tci@tactex.com			
#				
#	Touch Tablet Mapping File			
#				
#	Modifications:			
#	Date		Name	Comments
#	====================================================			
#	01-Apr-99	JBH	Initial mapping file created	
# 	14-Jun-99	AMI	Re-mapped taxels	
#	14-Jul-99	AMI	Changed x and y coords	
#	====================================================			
#				
#				
#	#taxels	x_dim	y_dim	max_sample_rate
$	128	145	95	36.0
#				
#				
#	Key:			
#	y_index	x_index	x_coord	y_coord
#				
# LED 1,	Photodiodes 1-8			
#				
	10	1	127.5	2.45
	7	3	27.5	25.35
	5	7	67.5	48.25
	3	11	107.5	71.05
	1	14	137.5	92.55
	3	10	97.5	69.75
	5	6	57.5	46.75
	7	2	17.5	23.95
#				
# LED 2,	Photodiodes 1-8			
#				
	9	1	7.5	3.85
	7	5	47.5	26.75
	5	9	87.5	49.65
	3	13	127.5	72.55
	1	12	117.5	91.15
	3	8	77.5	68.25
	5	4	37.5	45.35
	8	14	137.5	22.45
#				
# LED 3,	Photodiodes 1-8			
#				
	9	3	27.5	5.35
	7	7	67.5	28.15
	5	11	107.5	51.05
	2	1	7.5	73.95
	1	10	97.5	89.65
	3	6	57.5	66.85
	5	2	17.5	43.95
	8	12	117.5	21.05
#				
# LED 4,	Photodiodes 1-8			
#				
	9	5	47.5	6.75
	7	9	87.5	29.65
	5	13	127.5	52.55
	2	3	27.5	75.35
	1	8	77.5	88.25
	3	4	37.5	65.35
	6	14	137.5	42.45
	8	10	97.5	19.65
#				
# LED 5,	Photodiodes 1-8			
#				
	9	7	67.5	8.15
	7	11	107.5	31.05
	4	1	7.5	53.95
	2	5	47.5	76.85
	1	6	57.5	86.85
	3	2	17.5	63.95
	6	12	117.5	41.05
	8	8	77.5	18.15
#				
# LED 6,	Photodiodes 1-8			
#				
	9	9	87.5	9.65
	7	13	127.5	32.45
	4	3	27.5	55.35
	2	7	67.5	78.25
	1	4	37.5	85.35
	4	14	137.5	62.55
	6	10	97.5	39.65
	8	6	57.5	16.75
#				
# LED 7,	Photodiodes 1-8			
#				
	9	11	107.5	11.05
	6	1	7.5	33.95
	4	5	47.5	56.75
	2	9	87.5	79.65
	1	2	17.5	83.95
	4	12	117.5	61.05
	6	8	77.5	38.25
	8	4	37.5	15.35
#				
# LED 8,	Photodiodes 1-8			
#				
	9	13	127.5	12.45
	6	3	27.5	35.35
	4	7	67.5	58.25
	2	11	107.5	81.15
	2	14	137.5	82.55
	4	10	97.5	59.65
	6	6	57.5	36.75
	8	2	17.5	13.85
#				
# LED 9,	Photodiodes 1-8			
#				
	8	1	7.5	13.85
	6	5	47.5	36.75
	4	9	87.5	59.65
	2	13	127.5	82.55
	2	12	117.5	81.15
	4	8	77.5	58.25
	6	4	37.5	35.35
	9	14	137.5	12.45
#				
# LED 10,	Photodiodes 1-8			
#				
	8	3	27.5	15.35
	6	7	67.5	38.25
	4	11	107.5	61.05
	1	1	7.5	83.95
	2	10	97.5	79.65
	4	6	57.5	56.75
	6	2	17.5	33.95
	9	12	117.5	11.05
#				
# LED 11,	Photodiodes 1-8			
#				
	8	5	47.5	16.75
	6	9	87.5	39.65
	4	13	127.5	62.55
	1	3	27.5	85.35
	2	8	77.5	78.25
	4	4	37.5	55.35
	7	14	137.5	32.45
	9	10	97.5	9.65
#				
# LED 12,	Photodiodes 1-8			
#				
	8	7	67.5	18.15
	6	11	107.5	41.05
	3	1	7.5	63.95
	1	5	47.5	86.85
	2	6	57.5	76.85
	4	2	17.5	53.95
	7	12	117.5	31.05
	9	8	77.5	8.15
#				
# LED 13,	Photodiodes 1-8			
#				
	8	9	87.5	19.65
	6	13	127.5	42.45
	3	3	27.5	65.35
	1	7	67.5	88.25
	2	4	37.5	75.35
	5	14	137.5	52.55
	7	10	97.5	29.65
	9	6	57.5	6.75
#				
# LED 14,	Photodiodes 1-8			
#				
	8	11	107.5	21.05
	5	1	7.5	43.95
	3	5	47.5	66.85
	1	9	87.5	89.65
	2	2	17.5	73.95
	5	12	117.5	51.05
	7	8	77.5	28.15
	9	4	37.5	5.35
#				
# LED 15,	Photodiodes 1-8			
#				
	8	13	127.5	22.45
	5	3	27.5	45.35
	3	7	67.5	68.25
	1	11	107.5	91.15
	3	14	137.5	72.55
	5	10	97.5	49.65
	7	6	57.5	26.75
	9	2	17.5	3.85
#				
# LED 16,	Photodiodes 1-8			
#				
	7	1	7.5	23.95
	5	5	47.5	46.75
	3	9	87.5	69.65
	1	13	127.5	92.55
	3	12	117.5	71.05
	5	8	77.5	48.25
	7	4	37.5	25.35
	10	2	137.5	2.45
