#	Tactex Controls Inc.					
#
#	Touch Tablet Mapping File					
#	72 Taxel MTC Express - 6 rows by 12 cols; 8 PDs & 9 LEDs					
#
#	#taxels	x_dim	y_dim	max_sample_rate	max_compressed_sample_rate			
$	72	145	95	200	200			
#
#	KEY:
#	row	col	x_coord	y_coord
#
#LED 1:	
	1	1	3.75	90
	4	2	16.25	39
	1	4	41.25	90
	4	5	53.75	39
	1	7	78.75	90
	4	8	91.25	39
	1	10	116.25	90
	4	11	128.75	39
#
#LED 2:
	2	1	3.75	73
	5	2	16.25	22
	2	4	41.25	73
	5	5	53.75	22
	2	7	78.75	73
	5	8	91.25	22
	2	10	116.25	73
	5	11	128.75	22
#
#LED 3:
	3	1	3.75	56
	6	2	16.25	5
	3	4	41.25	56
	6	5	53.75	5
	3	7	78.75	56
	6	8	91.25	5
	3	10	116.25	56
	6	11	128.75	5
#
#LED 4:
	4	1	3.75	39
	1	3	28.75	90
	4	4	41.25	39
	1	6	66.25	90
	4	7	78.75	39
	1	9	103.75	90
	4	10	116.25	39
	1	12	141.25	90
#
#LED 5:
	5	1	3.75	22
	2	3	28.75	73
	5	4	41.25	22
	2	6	66.25	73
	5	7	78.75	22
	2	9	103.75	73
	5	10	116.25	22
	2	12	141.25	73
#
#LED 6:
	6	1	3.75	5
	3	3	28.75	56
	6	4	41.25	5
	3	6	66.25	56
	6	7	78.75	5
	3	9	103.75	56
	6	10	116.25	5
	3	12	141.25	56
#
#LED 7:
	1	2	16.25	90
	4	3	28.75	39
	1	5	53.75	90
	4	6	66.25	39
	1	8	91.25	90
	4	9	103.75	39
	1	11	128.75	90
	4	12	141.25	39
#
#LED 8:
	2	2	16.25	73
	5	3	28.75	22
	2	5	53.75	73
	5	6	66.25	22
	2	8	91.25	73
	5	9	103.75	22
	2	11	128.75	73
	5	12	141.25	22
#
#LED 9:
	3	2	16.25	56
	6	3	28.75	5
	3	5	53.75	56
	6	6	66.25	5
	3	8	91.25	56
	6	9	103.75	5
	3	11	128.75	56
	6	12	141.25	5
